market,link,price,name,date,datetime,stock
cardrush,https://www.cardrush-pokemon.jp/product/17811,3780,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,23
cardrush,https://www.cardrush-pokemon.jp/product/7801,3780,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,33
cardrush,https://www.cardrush-pokemon.jp/product/30975,2880,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,3
cardrush,https://www.cardrush-pokemon.jp/product/30011,2880,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,6
cardrush,https://www.cardrush-pokemon.jp/product/32084,12400,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,2
cardrush,https://www.cardrush-pokemon.jp/product/21168,8980,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,1
cardrush,https://www.cardrush-pokemon.jp/product/35570,27800,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,0
cardrush,https://www.cardrush-pokemon.jp/product/34106,15800,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,0
cardrush,https://www.cardrush-pokemon.jp/product/20864,14800,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,0
cardrush,https://www.cardrush-pokemon.jp/product/20226,16800,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,0
cardrush,https://www.cardrush-pokemon.jp/product/19152,2380,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,0
cardrush,https://www.cardrush-pokemon.jp/product/16333,1480,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,0
cardrush,https://www.cardrush-pokemon.jp/product/7875,2380,リザードンVMAX0,2022-11-17,2022-11-17 06:05:50,0
